0;1;2;3;4;5;6;7
lbp;rf;0.8;0.825;0.8121212121212122;0.8;0.2;2018-09-13 14:22:03.963526
lbp;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:22:03.992939
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-13 14:22:09.440841
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:22:09.473968
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.8222222222222222;0.810810810810811;0.8;0.2;2018-09-13 14:22:27.401215
lbp;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:22:27.429226
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-13 14:22:32.893945
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:22:32.931410
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.825;0.8121212121212122;0.8;0.2;2018-09-13 14:22:51.184499
lbp;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:22:51.213014
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-13 14:22:56.593128
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:22:56.625732
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.85;0.8242424242424243;0.8;0.2;2018-09-13 14:23:09.202545
lbp;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:23:09.231168
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-13 14:23:14.573282
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:23:14.605758
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.85;0.8242424242424243;0.8;0.2;2018-09-13 14:23:27.266288
lbp;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:23:27.295525
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-13 14:23:32.690635
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:23:32.725568
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.85;0.8242424242424243;0.8;0.2;2018-09-13 14:23:45.809404
lbp;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:23:45.839842
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-13 14:23:51.351942
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:23:51.385304
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.825;0.8121212121212122;0.8;0.2;2018-09-13 14:24:08.182880
lbp;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:24:08.211462
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-13 14:24:13.681672
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:24:13.715274
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.825;0.8121212121212122;0.8;0.2;2018-09-13 14:24:30.918676
lbp;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:24:30.947930
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-13 14:24:36.660863
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:24:36.694834
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.825;0.8121212121212122;0.8;0.2;2018-09-13 14:24:53.624345
lbp;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:24:53.652653
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-13 14:24:59.095667
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:24:59.128762
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.825;0.8121212121212122;0.8;0.2;2018-09-13 14:25:15.695365
lbp;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:25:15.734061
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-13 14:25:21.714173
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:25:21.750500
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.825;0.8121212121212122;0.8;0.2;2018-09-13 14:30:53.853712
lbp;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:30:53.882014
lbp;nv;0.6;0.685;0.6166875;0.6;0.4;2018-09-13 14:30:54.030317
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-13 14:30:59.490450
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:30:59.526531
rc;nv;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:30:59.556994
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.85;0.8242424242424243;0.8;0.2;2018-09-13 14:10:54.728864
lbp;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-13 14:10:54.756740
